commit	metric_name	metric_value	memory_gb	status	description	episode_id	iter	score	budget_mode	budget_s	hardware_fingerprint	comparable	non_comparable_reason
f49b61d	eval_score	0.547273	0.0	keep	continuous-parallel|conc=4	ab9e5e862296	0	-0.547273	fixed_wallclock	3600	83ead5833612ae3e	0	budget_mismatch:3600!=28800
f49b61d	eval_score	0.417273	0.0	discard	continuous-parallel|conc=4	ab9e5e862296	1	-0.547273	fixed_wallclock	3600	83ead5833612ae3e	0	budget_mismatch:3600!=28800
f49b61d	eval_score	0.535909	0.0	discard	continuous-parallel|conc=4	ab9e5e862296	2	-0.547273	fixed_wallclock	3600	83ead5833612ae3e	0	budget_mismatch:3600!=28800
f49b61d	eval_score	0.512727	0.0	discard	continuous-parallel|conc=4	ab9e5e862296	3	-0.547273	fixed_wallclock	3600	83ead5833612ae3e	0	budget_mismatch:3600!=28800
