commit	metric_name	metric_value	memory_gb	status	description	episode_id	iter	score	budget_mode	budget_s	hardware_fingerprint	comparable	non_comparable_reason
f49b61d	eval_score	0.520000	0.0	keep	continuous-parallel|conc=4	a6bc62f47dc6	0	-0.520000	fixed_wallclock	3600	83ead5833612ae3e	0	budget_mismatch:3600!=28800
f49b61d	eval_score	0.571818	0.0	keep	continuous-parallel|conc=4	a6bc62f47dc6	1	-0.571818	fixed_wallclock	3600	83ead5833612ae3e	0	budget_mismatch:3600!=28800
f49b61d	eval_score	0.420909	0.0	discard	continuous-parallel|conc=4	a6bc62f47dc6	2	-0.571818	fixed_wallclock	3600	83ead5833612ae3e	0	budget_mismatch:3600!=28800
f49b61d	eval_score	0.512727	0.0	discard	continuous-parallel|conc=4	a6bc62f47dc6	3	-0.571818	fixed_wallclock	3600	83ead5833612ae3e	0	budget_mismatch:3600!=28800
